participant_id,REC,LDI
55bb9ae7fdf99b26d27fda01,0.65,0.469
56514c84715ff50011a43878,0.75,0.636
5cb9ca6814b3cb0017e4f7dd,0.65,0.825
5d4c78071b920f00198e8533,0.4,0.575
5e9cbc3999531a099492509f,0.784,0.452
5ea37c11733b42302b54b64c,0.85,0.901
5f0d2ad60ad0d6730c380b05,0.65,0.729
5fa4c21a04bc5912180291bc,0.65,0.655
603006ea5f6c24dfc908f835,0.9,0.523
60e144a275d075549f49d12f,0.834,0.438
6158bb338b6122275bc191e3,0.75,0.847
62dc761564191bc28a87e7c7,0.95,0.653
63ae31ff5c725a41082afc56,0.719,0.188
63c1d184883ce15537788b40,1.0,0.803
63ffcb367b500c516d0648a2,0.9,0.409
6435768bb77e91c2a4546f1e,1.0,0.605
644f162cac2c2b8aa0583b89,0.85,0.528
646ff124ef129159bf5f08f7,0.753,0.256
65c1512b51dc8b722a7fe306,0.85,0.778
6621a2f38453311275d17d65,0.9,0.544
6638068d9ab49383d1fe00ae,0.75,0.567
663d8f0edfd87b4c1f590b99,0.55,0.75
66537b0010ca11939058e52b,0.85,0.634
6691809035e52ca9b2b0f39a,0.85,0.626
66b4c5d581010580d8d67618,0.472,0.28
66ba32b2a868595bbef88468,0.85,0.673
66cb244951abdf73420673a8,0.25,0.628
670e8b28f1a48a783a00c341,0.809,0.091
671498899f67df85f33ea053,0.75,0.609
672e5b801730efc4cb61259b,0.7,0.325
677c0682ec510c0693fc5790,0.95,0.824
6792c21092dba48f9c45aab7,0.219,0.297
6944565ececff7a71b83d5f3,0.7,0.523
695fa6ec01e2a237370a83d2,0.9,0.455
695ff63580d6ce826e06277f,0.95,0.261
697ed59824964096e537d7d3,0.634,0.303
699f134d7a5cda410bd5e6bb,0.753,0.439
69a3d3e76349941fe060b053,0.85,0.741
69a9dcac25a062cd320e83a1,0.55,0.841
69aa333e1f57c2124c5706ad,0.734,0.564
69b9174a05fa2db6d0a8b4ff,0.541,0.182
69baf81b058083cc0390f91a,0.95,0.757
69bf654cd16e7351998e098a,0.8,0.643
69c19681729c357296460f3d,0.6,0.688
69c2cf612f3aaa621cd012c9,0.95,0.43
69c312e7e225af97496fb371,0.95,0.719
69c6a0486205ad3699420312,0.85,0.56
